Date,AAPL,AXP,BA,CAT,CSCO,CVS,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
1/7/2008,25.3771,49.36,82.87,68.73,26.13,38.2,31.16,#N/A N/A,194.73,25.37,100.05,22.89,66.86,41.34,31.655,58.03,81.11,57.92,34.61,15.5275,23.23,72.49,52.04,56.88,74.67,#N/A N/A,40.3251,#N/A N/A,46.56,91.22
1/8/2008,24.4386,47.9,79.65,67.17,25.43,37.58,30.51,#N/A N/A,189.61,24.73,97.5,22.26,67.04,39.62,31.81,57.11,80.27,59.58,33.45,15.4575,23.46,72.6,50.35,56.13,71.67,#N/A N/A,38.8368,#N/A N/A,45.95,90.18
1/9/2008,25.6286,49.08,80.3,67.23,26.24,37.19,30.16,#N/A N/A,191.75,24.73,98.31,22.75,67.8,40.26,32.635,57.47,80.19,60.5,34.44,15.4925,23.92,72.54,51.13,56.19,71.96,#N/A N/A,39.5065,#N/A N/A,46.9,91.56
1/10/2008,25.4314,48.92,82.36,67.41,26.24,37.63,30.67,#N/A N/A,196.91,25.28,99.92,22.54,67.91,41.33,32.78,58.17,80.21,60.47,34.33,15.635,24.08,72.48,51.57,56.09,72.39,#N/A N/A,40.4181,#N/A N/A,48.4,91.66
1/11/2008,24.6543,44,80.52,66.01,25.85,36.77,30.32,#N/A N/A,198.74,24.71,97.67,21.97,67.88,40.86,31.885,54.32,77.58,60.55,33.92,15.175,24.02,70.18,51.46,55.91,71.68,#N/A N/A,39.5344,#N/A N/A,47.72,90.3
1/14/2008,25.54,44.5,81.67,67.27,26.29,36.33,30.35,#N/A N/A,201.65,25.39,102.93,23.08,67.95,41.36,32.15,54.96,78.5,59.78,34.39,15.1825,23.97,70.29,51.05,55.42,72.19,#N/A N/A,39.9902,#N/A N/A,47.67,90.83
1/15/2008,24.1486,42.77,77.86,65.4,25.85,36.02,29.85,#N/A N/A,193.29,25.37,101.83,22.69,67.76,39.17,31.805,53.76,77.18,58.18,34,14.265,23.59,69.7,49.68,54.95,71.36,#N/A N/A,39.2275,#N/A N/A,46.99,89.02
1/16/2008,22.8271,44.24,79.87,64.27,25.14,37.1,29.83,#N/A N/A,197.5,26.34,101.63,19.88,68.31,41.43,31.325,52.41,77.3,58.35,33.24,14.4175,23.4,68.84,50.15,55.28,71.04,#N/A N/A,39.367,#N/A N/A,47.49,86.53
1/17/2008,22.8114,42.67,79.52,62.47,24.4,36.97,28.77,#N/A N/A,190.98,26.25,101.1,19.35,67.83,40.04,31.02,51.98,74.96,54.87,33.01,13.995,22.96,68.07,47.43,54.37,68.09,#N/A N/A,38.0554,#N/A N/A,47.48,83.91
1/18/2008,23.0514,43.61,78.4,62.81,24.31,36.92,28.51,#N/A N/A,187.21,26.28,103.4,19,66.29,39.59,30.37,52.4,74.91,53.32,33.01,14.125,22.5,67.15,46.19,54.4,68.05,#N/A N/A,36.3624,#N/A N/A,47.58,85.08
1/21/2008,23.0514,43.61,78.4,62.81,24.31,36.92,28.51,#N/A N/A,187.21,26.28,103.4,19,66.29,39.59,30.37,52.4,74.91,53.32,33.01,14.125,22.5,67.15,46.19,54.4,68.05,#N/A N/A,36.3624,#N/A N/A,47.58,85.08
1/22/2008,22.2343,43.34,77.6,63.82,23.48,37.28,28.12,#N/A N/A,190.69,28.2,101.31,18.61,65.27,40.86,29.395,52.45,75.16,51.35,31.96,14.3225,22.16,65.13,46.17,51.22,67.24,#N/A N/A,35.1903,#N/A N/A,49.15,82.45
1/23/2008,19.85,46.32,76.46,65.12,24.1,37.1,28.49,#N/A N/A,199.81,29.95,106.25,19.94,64.33,45.67,29.415,52.99,76.04,50.3,31.98,14.38,22.81,66.26,46.39,50.28,71.01,#N/A N/A,35.4322,#N/A N/A,50.12,83.36
1/24/2008,19.3714,47.11,77.62,65.25,25.11,36.19,29.23,#N/A N/A,199.2,29.56,106.91,20.69,63.51,44.96,29.94,54,75.73,49.56,33.25,14.3525,23.05,66.15,46.41,49.82,72.56,#N/A N/A,35.5624,#N/A N/A,48.91,86
1/25/2008,18.5729,45.44,77.03,65.93,24.2,35.56,28.68,#N/A N/A,191.37,28.53,104.52,20,62.46,43.64,29.205,54.1,75.51,47.79,32.94,14,22.61,65.31,45.43,50,72.75,#N/A N/A,35.1252,#N/A N/A,48.09,83.94
1/28/2008,18.5729,47.4,77.6,68.21,24.1,35.49,29.37,#N/A N/A,196.25,29.14,104.98,20.29,63.07,45.57,29.705,51.07,77.44,49.25,32.72,14.3225,22.99,65.29,48,52,73.73,#N/A N/A,35.4508,#N/A N/A,48.71,85.13
1/29/2008,18.7914,47.8,80.96,68.99,24.06,36.31,28.8,#N/A N/A,196.05,29.71,106.1,20.5,62.97,47.45,29.275,50.75,78.02,48.01,32.6,14.3375,23.18,64.68,47.63,50.78,73.18,#N/A N/A,36.0089,#N/A N/A,49.01,85.08
1/30/2008,18.8829,47.34,82.92,68.44,24.36,36.02,29.41,#N/A N/A,198.52,29.38,105.67,20.69,62.2,47.35,28.885,51.01,78.22,46.69,32.2,14.85,23.1,65.09,47.83,50.22,72.89,#N/A N/A,35.6089,#N/A N/A,49.16,85.28
1/31/2008,19.3371,49.32,83.18,71.14,24.5,39.07,29.93,#N/A N/A,200.77,30.67,107.34,21.2,63.26,47.55,29.585,53.55,79.65,46.28,32.6,15.44,23.39,65.95,48.1,50.84,73.41,#N/A N/A,36.1298,#N/A N/A,50.88,86.4
2/1/2008,19.1071,49.6,82.76,71.76,24.94,39.9,30.66,#N/A N/A,207.78,30.45,109.08,21.78,63.36,48.25,29.63,54.22,81.21,45.98,30.49,15.6275,23.59,66.05,49.63,50.1,74.12,#N/A N/A,36.0461,#N/A N/A,51.18,85.95
2/4/2008,18.8071,47.66,82.9,70.95,23.82,39.25,30.9,#N/A N/A,200.8,29.35,107.93,21.2,63.47,46.22,29.315,53.88,80.57,47.47,30.19,15.185,23.63,66.15,48.82,49.9,74.05,#N/A N/A,35.9159,#N/A N/A,50.07,85.44
2/5/2008,18.48,45.7,81.69,67.52,23.26,38,30.07,#N/A N/A,189.86,27.99,105.02,20.1,62.87,43.89,28.7,53.84,79.09,45.95,29.03,14.95,22.96,65.04,47.23,49.4,72.35,#N/A N/A,34.2601,#N/A N/A,49.56,82.11
2/6/2008,17.4286,45.87,79.91,67.98,23.08,38.35,31.5,#N/A N/A,187.17,27.65,103.59,19.9,63.05,43.72,28.855,53.73,79.18,45.71,28.52,15.0075,22.59,65.31,47.35,49.38,71.87,#N/A N/A,34.1391,#N/A N/A,48.83,81.44
2/7/2008,17.32,46.45,79.75,68.32,23.38,39.16,31.72,#N/A N/A,190.46,28.4,102.34,20.05,62.81,45.11,29.225,54.46,79.12,45.7,28.12,15.19,22.67,65.77,47.25,49.03,71.47,#N/A N/A,34.3717,#N/A N/A,49.84,81.89
2/8/2008,17.9571,44.98,79.33,68.01,23.59,39.56,32.12,#N/A N/A,187.07,27.97,103.27,20.27,62.03,43.82,29.625,55.64,78.56,44.53,28.56,15.16,22.3,65.02,46.56,48.2,71.35,#N/A N/A,33.8787,#N/A N/A,48.76,81.71
2/11/2008,18.4929,44.63,81.13,69.42,23.52,40.17,31.93,#N/A N/A,185.87,28.69,105.14,20.68,61.88,43.35,29.75,55.98,79.28,45.31,28.21,15.165,22.2,66,45.91,48.22,71.57,#N/A N/A,34.2229,#N/A N/A,49.6,83.22
2/12/2008,17.8371,45.08,83.56,70,23.43,40.36,32.03,#N/A N/A,180.65,28.38,106.53,20.9,62.97,43.31,29.96,56.37,79.1,46.53,28.34,15.3425,22.68,67.16,47.73,48.27,72.82,#N/A N/A,34.9391,#N/A N/A,50.25,84.38
2/13/2008,18.4857,46.85,85.48,71.65,24.06,40.72,32.78,#N/A N/A,180.18,28.34,108.42,21.21,63.41,44.1,29.695,56.64,81.38,47.57,28.99,15.6375,22.74,67,48,46.97,73.52,#N/A N/A,35.9624,#N/A N/A,50.66,85.49
2/14/2008,18.2086,45.69,85.22,70.44,23.53,39.82,32.32,#N/A N/A,176.56,27.51,106.13,20.46,62.79,42.61,29.275,55.58,80.29,46.9,28.5,15.575,22.45,66.63,47.29,46.61,72.65,#N/A N/A,35.367,#N/A N/A,49.97,85.55
2/15/2008,17.8043,45.11,85.18,69.95,23.28,39.72,32.49,#N/A N/A,178.41,27.52,106.16,20.11,62.9,43.25,29.38,55.3,79.95,47.53,28.42,15.5725,22.33,66.3,47.87,47.74,71.53,#N/A N/A,35.1903,#N/A N/A,49.44,85.37
2/18/2008,17.8043,45.11,85.18,69.95,23.28,39.72,32.49,#N/A N/A,178.41,27.52,106.16,20.11,62.9,43.25,29.38,55.3,79.95,47.53,28.42,15.5725,22.33,66.3,47.87,47.74,71.53,#N/A N/A,35.1903,#N/A N/A,49.44,85.37
2/19/2008,17.4886,44.55,85.37,70.4,22.86,40.08,32.19,#N/A N/A,173.8,27.31,105,20.16,63.66,42.83,29.05,55.64,79.85,47.14,28.18,15.28,22.37,66.35,47.87,48.13,71.95,#N/A N/A,32.874,#N/A N/A,49.66,87.01
2/20/2008,17.6886,45.3,84,71.25,23.2,40.51,32.58,#N/A N/A,177.25,27.72,107.85,20.38,63.23,43.15,29.115,56.2,79.94,47.02,28.22,15.3,22.47,66.17,48.16,48.1,72.05,#N/A N/A,32.781,#N/A N/A,49.7,88.1
2/21/2008,17.3629,44.68,82.01,70.79,23.19,40.24,32.27,#N/A N/A,175.17,27.39,106.93,20.3,62.98,43.07,28.995,55.23,78.96,46.13,28.1,15.08,22.4,65.96,47.06,47.8,70.89,#N/A N/A,32.8926,#N/A N/A,49.79,86.92
2/22/2008,17.0657,45.06,83.04,71.18,23.6,40.16,32.57,#N/A N/A,177.71,27.77,108.07,19.82,63.18,43.93,29.13,55.69,79.67,46.07,27.68,15.1475,22.5,66.21,47.9,47.36,72.23,#N/A N/A,33.674,#N/A N/A,49.97,87.17
2/25/2008,17.1057,45.21,84.66,72.25,23.8,40.26,32.89,#N/A N/A,177.36,28.82,110.08,19.94,63.85,44.03,29.385,56.05,81,46.79,27.84,15.3975,22.78,66.68,49.03,47.98,73.41,#N/A N/A,33.9717,#N/A N/A,50.33,89.13
2/26/2008,17.0214,45.81,84.57,73.3,24.07,40.09,32.89,#N/A N/A,172.7,28.83,114.38,20.69,63.72,43.72,29.76,56.45,81.29,46.39,28.38,15.6525,22.83,67.68,50.03,48.93,73.29,#N/A N/A,34.2415,#N/A N/A,51.4,89.89
2/27/2008,17.5657,46.07,83.95,74.22,25.01,40.48,33.1,#N/A N/A,180.8,28.91,116.46,20.77,63.04,44.41,30.025,55.33,80.48,45.44,28.28,15.595,22.75,67.21,49.25,49.17,72.93,#N/A N/A,33.8508,#N/A N/A,51.43,89.39
2/28/2008,18.5586,44.42,84.8,74.39,24.66,40.93,32.54,#N/A N/A,176.7,27.71,115.24,20.49,62.71,42.44,29.73,54.62,79.8,45.2,27.93,15.51,22.55,66.97,48.1,48.01,72.17,#N/A N/A,34.5857,#N/A N/A,50.7,89.38
2/29/2008,17.86,42.3,82.79,72.33,24.37,40.38,32.41,#N/A N/A,169.63,26.55,113.86,19.95,61.96,40.65,29.23,54.11,78.4,44.3,27.22,15.05,22.28,66.18,46.41,46.48,70.51,#N/A N/A,33.7857,#N/A N/A,49.59,87.01
3/3/2008,17.39,42.08,80.67,73.2,24.4,40.09,32.41,#N/A N/A,165.08,27.09,114.23,20.01,62.23,39.82,29.51,53.16,78.49,44.06,26.99,15.0225,22.25,66.35,46.5,46.35,69.4,#N/A N/A,33.7578,#N/A N/A,49.89,87.75
3/4/2008,17.8029,42.65,79.62,71.74,24.29,40.92,31.87,#N/A N/A,163.6,26.87,115.71,20,62.64,39.19,29.685,53.63,78.41,43.76,27.59,15.1075,22.24,66.05,46.63,46.76,68.9,#N/A N/A,33.1996,#N/A N/A,49.87,86.69
